iter	Passed	Remaining
0	0	198
1	1	266
2	2	293
3	3	260
4	4	236
5	4	215
6	4	201
7	5	195
8	5	187
9	6	182
10	6	176
11	7	179
12	7	173
13	8	173
14	9	176
15	10	182
16	11	196
17	12	195
18	13	193
19	13	191
20	14	189
21	14	188
22	15	186
23	15	183
24	16	180
25	16	178
26	17	175
27	17	173
28	18	172
29	18	170
30	19	169
31	20	168
32	20	166
33	21	167
34	22	167
35	23	169
36	23	168
37	24	167
38	24	166
39	25	165
40	25	163
41	26	162
42	26	160
43	27	159
44	27	157
45	28	156
46	28	155
47	29	154
48	29	153
49	30	152
50	31	152
51	31	151
52	32	150
53	32	148
54	33	147
55	34	148
56	35	150
57	35	149
58	36	148
59	36	147
60	37	146
61	37	145
62	38	144
63	38	142
64	39	142
65	39	141
66	40	140
67	41	140
68	41	139
69	42	138
70	42	138
71	43	137
72	43	136
73	44	136
74	45	135
75	45	134
76	46	135
77	47	135
78	48	135
79	48	134
80	49	133
81	49	132
82	50	131
83	50	130
84	51	130
85	52	129
86	52	129
87	53	128
88	53	127
89	54	127
90	54	126
91	55	125
92	55	124
93	56	123
94	57	123
95	57	123
96	59	124
97	60	124
98	61	124
99	61	123
100	62	122
101	62	121
102	63	121
103	64	120
104	64	119
105	65	118
106	65	118
107	66	117
108	66	116
109	67	115
110	67	115
111	68	114
112	68	113
113	69	113
114	69	112
115	70	111
116	71	111
117	71	110
118	72	110
119	73	110
120	74	109
121	74	109
122	75	108
123	75	107
124	76	106
125	76	106
126	77	105
127	77	104
128	78	104
129	79	103
130	79	102
131	80	102
132	80	101
133	81	101
134	82	100
135	82	99
136	83	99
137	84	98
138	84	98
139	85	97
140	86	97
141	86	96
142	87	95
143	87	95
144	88	94
145	88	93
146	89	92
147	89	92
148	90	91
149	90	90
150	91	90
151	91	89
152	92	89
153	93	88
154	93	87
155	94	87
156	95	86
157	95	86
158	96	85
159	97	85
160	98	84
161	99	84
162	99	83
163	100	83
164	100	82
165	101	81
166	101	80
167	102	80
168	102	79
169	103	79
170	104	78
171	104	77
172	105	77
173	105	76
174	106	75
175	106	75
176	107	74
177	107	73
178	108	73
179	108	72
180	109	72
181	110	71
182	111	71
183	111	70
184	112	69
185	112	69
186	113	68
187	113	67
188	113	66
189	114	66
190	114	65
191	115	64
192	115	64
193	115	63
194	116	62
195	116	61
196	117	61
197	117	60
198	118	59
199	118	59
200	119	58
201	119	58
202	120	57
203	120	56
204	121	56
205	121	55
206	122	55
207	123	54
208	124	54
209	124	53
210	125	52
211	125	52
212	126	51
213	126	50
214	127	50
215	128	49
216	128	49
217	129	48
218	129	48
219	130	47
220	130	46
221	131	46
222	132	45
223	132	44
224	133	44
225	133	43
226	134	43
227	135	42
228	136	42
229	137	41
230	137	41
231	138	40
232	138	39
233	139	39
234	139	38
235	140	38
236	140	37
237	141	36
238	141	36
239	142	35
240	143	35
241	143	34
242	144	33
243	144	33
244	145	32
245	145	32
246	146	31
247	146	30
248	147	30
249	148	29
250	149	29
251	150	28
252	151	28
253	152	27
254	152	26
255	153	26
256	153	25
257	154	25
258	154	24
259	155	23
260	155	23
261	156	22
262	157	22
263	157	21
264	158	20
265	158	20
266	159	19
267	160	19
268	161	18
269	162	18
270	164	17
271	164	16
272	165	16
273	165	15
274	166	15
275	166	14
276	167	13
277	167	13
278	168	12
279	168	12
280	169	11
281	169	10
282	170	10
283	171	9
284	171	9
285	172	8
286	172	7
287	173	7
288	174	6
289	176	6
290	177	5
291	177	4
292	178	4
293	178	3
294	179	3
295	179	2
296	180	1
297	180	1
298	180	0
299	181	0
